race_date,race_city,race_no,race_type,race_sex_group,race_age_group,race_race_group,race_length,race_track_type,race_track_condition,best_rating,best_rating_seconds
2024-01-12,i̇zmir,4,handicap 14,undefined,3 years old,english,1600,dirt,good going,1.38.10,98.1
2024-01-12,i̇zmir,5,condition-8,undefined,4 years old and up,arabian,2200,dirt,good going,2.32.28,152.28
2024-01-12,i̇zmir,6,handicap 15,female,4 years old,arabian,1600,dirt,good going,1.48.55,108.55
2024-01-12,i̇zmir,7,maiden,undefined,3 years old,english,1200,dirt,good going,1.11.59,71.59
2024-01-12,antalya,1,maiden,undefined,3 years old,english,1400,dirt,good going,1.24.74,84.74
2024-01-12,antalya,2,handicap 14,undefined,4 years old,arabian,2000,dirt,good going,2.20.96,140.96
2024-01-12,antalya,3,condition 2,female,4 years old and up,arabian,1300,dirt,good going,1.27.60,87.6
2024-01-12,antalya,4,condition 4,undefined,4 years old and up,english,2200,dirt,good going,2.21.96,141.96
2024-01-12,antalya,5,condition 3,undefined,3 years old,english,1700,dirt (polytrack),good going,1.41.46,101.46
2024-01-12,antalya,6,handicap 15,female,3 years old,english,1200,dirt,good going,1.12.98,72.98
2024-01-12,antalya,7,handicap 14,undefined,4 years old and up,english,2100,dirt (polytrack),good going,2.08.33,128.33
2024-01-13,adana,1,condition 3,undefined,4 years old and up,english,1900,dirt,good going,2.00.00,120.0
2024-01-13,adana,2,handicap 16,undefined,4 years old and up,english,1400,dirt,good going,1.24.53,84.53
2024-01-13,adana,3,condition 3,undefined,4 years old,arabian,1900,dirt,good going,2.11.74,131.74
2024-01-13,adana,4,handicap 15,undefined,4 years old,arabian,1400,dirt,good going,1.34.68,94.68
2024-01-13,adana,5,condition 1,undefined,3 years old,english,1300,dirt,good going,1.18.98,78.98
2024-01-13,adana,6,condition 4,undefined,4 years old and up,arabian,1200,dirt,good going,1.20.89,80.89
2024-01-13,adana,7,condition-8,undefined,3 years old,english,1400,dirt,good going,1.24.53,84.53
2024-01-13,adana,8,condition 2,undefined,4 years old and up,arabian,2100,dirt,good going,2.29.21,149.21
2024-01-13,adana,9,condition 1,undefined,3 years old,english,1300,dirt,good going,1.18.98,78.98
2024-01-13,i̇stanbul,1,maiden,undefined,3 years old,english,1500,dirt (polytrack),good going,1.28.19,88.19
2024-01-13,i̇stanbul,2,condition-6,undefined,4 years old and up,arabian,2200,dirt (polytrack),good going,2.30.12,150.12
