race_date,race_city,race_no,result,horse_name,horse_accessories,horse_age,horse_sex,horse_origin,horse_sire,horse_dam,hors_broodmare_sire,jockey_weight,jockey_name,horse_owner,horse_trainer,horse_win_value,Horse_starting_box_no,horse_rate,horse_race_degree_seconds
2024-01-25,İzmir,7,9,CANHALİME,SKG,4,f,CANKARDEŞLER- KIR HALİME / EŞKBAR,cankardeşler,kir hali̇me,EŞKBAR,52,si̇nan akşin,DURAN TEKELİ,duran tekeli̇,79.3,8,0,93.69
2024-01-25,İzmir,7,10,CANKUT,KG DB GKR,4,f,ENDEREFE- ÇÖL ATEŞİ / BOZDAĞ,enderefe,çöl ateşi̇,BOZDAĞ,56,mertcan akin,HALİL FELHAN,ülkü ayboğa,38.95,4,25,95.57
2024-01-25,Kocaeli,1,1,HIZLI EMEL,KG DB SK,5,m,HIZLITAY- EMEL HALA / BEYEFENDİ,hizlitay,emel hala,BEYEFENDİ,55,hişman çi̇zi̇k,CÜNEYT YILDIZHAN,veli̇ akbulut,1.35,4,87,129.92
2024-01-25,Kocaeli,1,2,FIRAT BABA,DB,7,m,TOŞUR- AYA BENZER / YALAZ,toşur,aya benzer,YALAZ,55,vedat abi̇ş,ALPAY DEMİREL,i̇lyas canpolat,5.35,2,82,130.02
2024-01-25,Kocaeli,1,3,ILDIRLI,KG DB,8,m,TURBO- KRALİÇEKARINCA / ATOMKARINCA,turbo,krali̇çekarinca,ATOMKARINCA,55,onur yildiz,GÖRKEM GEDİKOĞLU,ni̇hat yildirim,7.85,8,85,131.86
2024-01-25,Kocaeli,1,4,ERDOĞDU,KG DB SK,7,m,HIZLITAY- MAHARET / TIKI TORK KU (US),hizlitay,maharet,TIKI TORK KU (US),52,eren kadi̇rler,DİLEK BURAN,sabri̇ arslan,20.4,6,86,132.03
2024-01-25,Kocaeli,1,5,İSTANBUL MUHAFIZI,KG DB,7,m,AYABAKAN- MELDEGÜLÜ / BİLGİN,ayabakan,meldegülü,BİLGİN,55,mustafa çi̇çek,ZERRİN TAŞÖREN,regai̇p yildiz,11.7,3,77,133.7
2024-01-25,Kocaeli,1,6,ALTINDERE,KG DB SK,8,m,BİLGİN- YANIK / KARA YAĞIZ,bi̇lgi̇n,yanik,KARA YAĞIZ,55,firat arslan,ŞİRİN DEMİR,seda uysal,6.4,1,71,137.13
2024-01-25,Kocaeli,1,7,BAY ONUR,KG DB SK,5,m,TURBO- SARISULTAN / YELHAN,turbo,sarisultan,YELHAN,55,mertcan çeli̇k,ŞİRİN DEMİR,seda uysal,6.4,5,79,150.06
2024-01-25,Kocaeli,2,1,UTKUCUK,KG K DB,6,m,YONAGUSKA (USA)- GONDOR / UNACCOUNTED FOR (USA),yonaguska (usa),gondor,UNACCOUNTED FOR (USA),58,ali̇ yildiz,ERDEM ÖZGÜR KÖROĞLU,ahmet olcar,2.55,5,85,116.49
